CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax
Ford7,Kayveo,Hillie,"Beer, Morar and Bayer",AU-WA,Chropyně,PG-MBA,768 11,Czech Republic,678-309-9636,+249 199 737 2194
Humm8,Camimbo,Nat,Trantow and Sons,BR-SC,Dobre,AR-R,88-210,Poland,806-795-0842,+264 726 212 5475
Niss9,Divape,Shell,"Romaguera, Schamberger and Leannon",VU-MAP,Muara Sabak,WS-TU,,Indonesia,498-950-4834,+972 816 870 0872
Merc1,Vinte,Loren,Dooley-Lynch,TW-TTT,Gwangtan,US-CA,,South Korea,538-992-6540,+57 827 225 1996
Plym2,Eamia,Ricki,Walker and Sons,GA-9,Salaya,GB-ENG,13230,Thailand,921-826-9066,+62 814 128 1885
Volv3,Yombu,Nelle,Langworth Group,NI-AS,Shimen,RU-PRI,,China,502-513-0181,+358 771 724 9763
Merc4,Wikizz,Stephannie,"Larson, Pfeffer and Torphy",LR-NI,Ordos,TD-LC,,China,768-251-3510,+420 413 675 5405
Volk5,Tagpad,Lowrance,"Funk, Hettinger and Gutkowski",US-HI,Jagabaya Dua,BR-BA,,Indonesia,650-187-8919,+855 665 510 0069
Infi6,LiveZ,Laina,"Bahringer, Bailey and Barrows",AU-NSW,Nueva Cajamarca,UG-212,,Peru,344-266-9492,+98 764 979 2541
Chry7,Buzzster,Noami,"Schimmel, Nienow and Osinski",KI-G,Návsí u Jablunkova,US-GA,739 97,Czech Republic,218-942-8443,+261 233 294 6673
Dodg8,Fivebridge,Petronella,"Boehm, Hettinger and Simonis",IR-21,Olympia,US-SC,98516,United States,360-878-6694,+86 844 356 4822
Asto9,Edgewire,Bevon,Rosenbaum-Johnson,UZ-TO,Karangpapak,PG-NSB,,Indonesia,804-617-2264,+62 567 755 7487
Ferr1,Kayveo,Abby,Dickens-Donnelly,SB-ML,Handegate,VN-49,,China,667-581-5494,+33 499 823 9015
Jeep2,Ozu,Shelly,"Oberbrunner, Wolf and Roberts",CA-NT,Yueyang,CN-34,,China,457-673-5828,+86 705 646 4083
Lamb3,Realcube,Gustie,"Herzog, Gerhold and Altenwerth",MY-12,Harrismith,CN-46,9885,South Africa,860-860-5731,+504 667 726 9854
BMW4,Topiclounge,Gabriel,Johns Group,AU-SA,Ar Riqāb,IN-KA,,Tunisia,170-837-0883,+62 184 122 2012
Suba5,Twitterbeat,Deeanne,Spinka-Rolfson,GY-DE,Arwād,MW-LI,,Syria,377-421-2145,+86 196 229 3511
Pont6,Cogibox,Hali,"Rogahn, Wunsch and Homenick",RU-LIP,Sanya,ID-NT,,China,933-854-8248,+63 495 903 0704
Mazd7,Skinder,Svend,Crist and Sons,FR-O,Saransk,PF-U-A,430910,Russia,510-978-0184,+86 774 970 2209
Lexu8,Oozz,Benton,Gleason-Waelchi,PG-MBA,Boniewo,CA-YT,87-851,Poland,954-950-7666,+62 597 498 6008
Lotu9,Ooba,Lewiss,"Yost, Mayert and Robel",MG-A,Bella Vista,CA-NT,9400,Argentina,194-615-5023,+52 355 172 4282
Linc1,Voomm,Meggi,Quigley-Sporer,US-UT,Betafo,AF-ORU,,Madagascar,783-978-3021,+86 671 130 1963
MINI2,Skiptube,Beauregard,Bauch-Bogisich,PG-WPD,Leopoldina,AU-WA,36700-000,Brazil,977-936-3827,+57 517 272 1822
Land3,Tekfly,Waylon,Mante-Jaskolski,CN-14,Jingnao,US-AK,,China,422-945-7121,+86 198 285 4776
Satu4,Fivechat,Roderic,"Muller, Brekke and Maggio",NZ-MWT,Quinarayan,HU-PE,2725,Philippines,106-871-1070,+54 840 754 5542
Isuz5,Feedmix,Janean,"Marvin, Hackett and Klocko",US-IN,Yasnyy,US-ND,462781,Russia,899-705-6556,+84 252 507 7787
Mase6,Thoughtstorm,Thorvald,"Schneider, Daniel and McLaughlin",US-WA,Blagodatnoye,US-FL,356503,Russia,748-851-3773,+381 657 912 2544
Mayb7,Avamm,Caldwell,Altenwerth Inc,MZ-MPM,Matingain,AU-QLD,4211,Philippines,632-235-2003,+63 666 655 7406
Olds8,Camimbo,Roi,Hartmann LLC,US-GA,Lincheng,US-MS,,China,897-526-0542,+351 524 618 8447
Kia9,Centidel,Maressa,"Kiehn, Brekke and Beer",CA-ON,Agenebode,MX-SON,,Nigeria,934-840-6437,+266 691 295 0735
Scio1,Gabvine,Romeo,Schmidt-Weimann,JP-45,Batumi,CA-BC,,Georgia,162-199-4062,+7 690 496 6391
Saab2,Demivee,Nita,"Dibbert, Marvin and Waelchi",KE-700,Osby,SB-IS,283 45,Sweden,631-500-7398,+62 517 816 6842
Eagl3,Zoomlounge,Janella,Christiansen Inc,US-CA,Beselga,US-TN,3630-058,Portugal,500-460-9665,+378 448 171 1947
MG4,Einti,Carmine,Dietrich Inc,CM-NW,Qabqir,MY-13,,China,891-496-9843,+55 754 836 1655
Jagu5,Kayveo,Emmey,Sporer and Sons,AF-TAK,Santa Lucía,AU-WA,,Honduras,224-892-8523,+86 678 243 2722
Daew6,Zava,Flossie,Rowe-Spinka,US-IN,Temorlorong,PK-NW,,Indonesia,839-222-4323,+420 732 718 2661
Morg7,Gabspot,Fowler,"Lebsack, Bruen and Rodriguez",IR-31,Metsamor,US-WI,,Armenia,416-648-8009,+216 957 315 6934
Ram8,Skaboo,Grange,"Auer, Lindgren and Vandervort",GR-81,Sulūk,AU-WA,,Syria,989-325-5201,+55 832 846 2489
Aust9,Skyvu,Lesley,Doyle-Oberbrunner,DO-12,Golbey,US-WI,88194 CEDEX,France,350-383-0194,+506 537 967 0873
